Model;Scenario;Region;Damage quantile;SLR quantile;SLR adaptation;Target;Discounting;Variable;Unit;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2070;2080;2090;2100;2110;2130;2150
REMIND;experiment-1-1;World;5;5;with;rcp26;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.932071;0.958668;1.053233;1.166513;1.271504;1.369169;1.475012;1.57338;1.65468;1.716452;1.755475;1.78398;1.816893;1.829098;1.821694;1.785605;1.719209;1.539445;1.36652
REMIND;experiment-1-1;World;5;5;without;rcp26;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.93221;0.958767;1.053365;1.166575;1.271577;1.369419;1.475376;1.574486;1.656699;1.718432;1.757422;1.785599;1.81793;1.829765;1.821737;1.785003;1.718079;1.537647;1.364278
REMIND;experiment-1-1;World;50;50;with;rcp26;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.932132;0.958695;1.053226;1.16643;1.271472;1.369465;1.475655;1.574791;1.657073;1.7192;1.758513;1.7868;1.819045;1.830656;1.822728;1.786504;1.719966;1.539769;1.366539
REMIND;experiment-1-1;World;50;50;without;rcp26;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.931981;0.958527;1.052947;1.166029;1.270918;1.368893;1.475312;1.57475;1.65755;1.719675;1.758931;1.787141;1.819238;1.830417;1.822151;1.785525;1.718603;1.537904;1.364433
REMIND;experiment-1-1;World;95;95;with;rcp26;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.932092;0.958664;1.053165;1.166304;1.271351;1.369447;1.47586;1.575263;1.657526;1.719527;1.758621;1.786763;1.818633;1.829729;1.82157;1.785425;1.71887;1.538439;1.365147
REMIND;experiment-1-1;World;95;95;without;rcp26;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.931658;0.958175;1.052366;1.16521;1.270005;1.368201;1.475171;1.575003;1.65763;1.719903;1.759247;1.787526;1.819866;1.830706;1.822488;1.786269;1.719678;1.539185;1.366078
REMIND;experiment-1-1;World;NA;NA;NA;rcp26;medium;Temperature|Global Mean;°C (rel to pre-industrial);0.932076;0.958708;1.053281;1.166604;1.271608;1.369248;1.475066;1.573392;1.65474;1.71657;1.755634;1.784173;1.817202;1.829568;1.822349;1.786447;1.720236;1.540706;1.367909
REMIND;experiment-1-1;R5.2ASIA;5;5;with;rcp26;medium;Consumption;billion US$2010/yr;3789.435857;4083.470391;7262.528585;11446.5454;15370.91292;18137.51611;21177.79024;23857.2571;26293.66388;28636.81244;31059.62842;33531.66422;36677.68739;42964.86147;49061.11432;54786.10126;63981.46318;56091.93336;68565.45311
REMIND;experiment-1-1;R5.2ASIA;5;5;with;rcp26;medium;GDP|PPP;billion US$2010/yr;14311.13487;20580.13525;29783.20243;41499.28825;54113.68952;66262.24031;78674.77932;90984.76154;103269.3123;114988.0561;126537.8707;137969.447;160949.5381;183984.8951;204694.199;229050.2929;228997.4336;233917.7151;216152.2438
REMIND;experiment-1-1;R5.2ASIA;5;5;without;rcp26;medium;Consumption;billion US$2010/yr;3789.42663;4086.728972;7263.778042;11420.99166;15255.51639;18001.27944;20909.58128;23543.98093;25967.64473;28239.62033;30539.24305;32933.40816;35915.07714;41880.71481;47588.11547;52905.73188;61334.8066;53699.5646;64577.60608
REMIND;experiment-1-1;R5.2ASIA;5;5;without;rcp26;medium;GDP|PPP;billion US$2010/yr;14311.13487;20579.17031;29779.45866;41520.0112;54062.74558;66108.65119;78353.1402;90327.99899;102270.1936;113769.441;125019.9701;136132.13;158348.0347;180439.0398;200193.4588;223393.2833;222430.066;225572.0996;206854.2671
