"Model";"Scenario";"Region";"Damage quantile";"SLR quantile";"SLR adaptation";"Target";"Discounting";"Variable";"Unit";"2005";"2010";"2015";"2020";"2025";"2030";"2035";"2040";"2045";"2050";"2055";"2060";"2070";"2080";"2090";"2100";"2110";"2130";"2150"
"REMIND";"experiment-1-1";"World";"5";"5";"with";"rcp60";"high";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.92891;0.957605;1.048348;1.158051;1.268178;1.382559;1.512641;1.651022;1.791511;1.937014;2.073735;2.210115;2.482736;2.750729;3.004791;3.238492;3.458233;3.840581;4.175428
"REMIND";"experiment-1-1";"World";"5";"5";"without";"rcp60";"high";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.92895;0.957636;1.048406;1.158158;1.268258;1.382657;1.512831;1.65126;1.791691;1.936858;2.073159;2.209013;2.480198;2.746275;2.998104;3.22949;3.44677;3.824311;4.153704
"REMIND";"experiment-1-1";"World";"50";"50";"with";"rcp60";"high";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.928875;0.957614;1.048292;1.15806;1.268393;1.383083;1.513468;1.651937;1.792199;1.936882;2.072493;2.207584;2.476594;2.739109;2.985861;3.21063;3.41986;3.781006;4.092158
"REMIND";"experiment-1-1";"World";"50";"50";"without";"rcp60";"high";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.928921;0.957627;1.04835;1.158116;1.268408;1.383116;1.513656;1.652181;1.792276;1.936302;2.071054;2.205018;2.47103;2.729749;2.972231;3.192334;3.39635;3.746773;4.04541
"REMIND";"experiment-1-1";"World";"95";"95";"with";"rcp60";"high";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.928815;0.957589;1.048206;1.158051;1.26855;1.383481;1.514065;1.652543;1.792458;1.936425;2.071058;2.204774;2.469866;2.727116;2.967287;3.184591;3.385366;3.728203;4.018344
"REMIND";"experiment-1-1";"World";"95";"95";"without";"rcp60";"high";"Temperature|Global Mean";"°C (rel to pre-industrial)";0.928901;0.957632;1.04834;1.158231;1.268782;1.383899;1.514861;1.653477;1.793151;1.936023;2.069174;2.201025;2.461103;2.711906;2.944956;3.15489;3.347834;3.67441;3.94543
"REMIND";"experiment-1-1";"World";NA;NA;NA;"rcp60";NA;"Temperature|Global Mean";"°C (rel to pre-industrial)";0.882558;0.894903;1.001656;1.129006;1.255143;1.385902;1.531027;1.68493;1.842479;2.00383;2.154707;2.304398;2.598622;2.877494;3.128909;3.352003;3.557602;3.903151;4.195048
"REMIND";"experiment-1-1";"R5.2ASIA";"5";"5";"with";"rcp60";"high";"Consumption";"billion US$2010/yr";3784.92161979957;4147.17689949374;7165.79426816268;10860.1181338579;13393.3179856136;15592.9977504983;17862.7265649874;19985.7828618992;21923.3120645239;23807.086448107;25733.8264164352;29185.3003091979;32994.019005052;42554.3181385414;50132.0894854456;56156.7603480818;67439.0145334238;56531.6534837208;70884.1988239177
"REMIND";"experiment-1-1";"R5.2ASIA";"5";"5";"with";"rcp60";"high";"GDP|PPP";"billion US$2010/yr";14311.1348708282;20468.8123695001;29635.834789318;41687.992437492;54331.0363019908;66625.4911478015;79254.8052075703;91443.3049563778;104013.899860677;116518.962443296;128626.840710133;139619.718675499;163920.828178512;189624.512499731;212259.782952713;237184.997096005;235287.002502032;242689.560597534;226306.100175814
"REMIND";"experiment-1-1";"R5.2ASIA";"5";"5";"without";"rcp60";"high";"Consumption";"billion US$2010/yr";3784.92186210942;4147.23832273209;7165.53175358451;10864.276144947;13369.9524543877;15516.6689948495;17741.4842114903;19809.4319517201;21702.3717543233;23524.0371206817;25372.5155743447;28677.9760511234;32168.4262709613;41130.3309950359;48136.4985982529;53511.3475487346;63597.6238798117;52175.5021561619;62891.6789084447
"REMIND";"experiment-1-1";"R5.2ASIA";"5";"5";"without";"rcp60";"high";"GDP|PPP";"billion US$2010/yr";14311.1348708282;20468.0932142028;29629.5684606684;41690.8177195565;54279.6983769901;66475.0206370454;78943.1245912643;90908.2662049025;103192.187562543;115377.798596134;127138.813683602;137798.607712568;160997.611089177;185276.078384579;206421.841804278;229585.639028422;226321.054133109;229546.503826737;209719.896912514
"REMIND";"experiment-1-1";"R5.2ASIA";"50";"50";"with";"rcp60";"high";"Consumption";"billion US$2010/yr";3784.92160891542;4145.21153924804;7142.16541484238;10745.5434859328;13290.2687209646;15508.0109829908;17704.0656853191;19685.7710197199;21471.7399321576;23141.2285574472;24815.3518491848;27607.9322668109;30302.5065555589;37295.0874509883;42388.6489310661;46279.5650011566;53142.9948015522;42796.5133137389;50684.3074883419
"REMIND";"experiment-1-1";"R5.2ASIA";"50";"50";"with";"rcp60";"high";"GDP|PPP";"billion US$2010/yr";14311.1348708282;20471.9454863304;29677.0504493726;41701.5945119457;54122.9319645975;66112.9426665974;78304.085630617;89784.6338330959;101347.169935958;112592.79708984;123322.735427848;132800.999059754;152452.582869363;171317.504030155;185900.560152172;202276.261145837;195957.884590992;191364.044155564;168240.88255068
"REMIND";"experiment-1-1";"R5.2ASIA";"50";"50";"without";"rcp60";"high";"Consumption";"billion US$2010/yr";3784.92102545881;4143.48470556495;7139.94490947023;10763.0735576407;13277.4288602906;15454.1206267689;17539.2504073312;19467.8289821271;21133.6855552546;22710.7545535342;24290.1424569735;26830.1710014917;29229.7984222814;35083.2792202152;39028.3545568104;41648.6131272571;46905.2967479907;36022.0605377739;39637.8727672093
"REMIND";"experiment-1-1";"R5.2ASIA";"50";"50";"without";"rcp60";"high";"GDP|PPP";"billion US$2010/yr";14311.1348708282;20474.2284342034;29672.7112961686;41706.4797329358;54035.4681252513;65901.7692273894;77840.6375191019;88982.2211073249;100118.545241395;110824.225855163;120943.518447773;129701.862340448;147949.716929695;164792.555396738;176682.4969106;189904.707671772;181598.261934903;169685.690394766;141213.630815206
"REMIND";"experiment-1-1";"R5.2ASIA";"95";"95";"with";"rcp60";"high";"Consumption";"billion US$2010/yr";3784.92140464514;4138.57088959378;7099.4131104801;10627.4852947385;13242.8780878015;15412.5630351925;17488.6618642994;19355.9465610032;20976.9526905409;22446.5825753271;23921.8080272724;26168.6943473422;28157.0451700083;33333.5259109927;36922.5950386728;39210.1964013689;44489.8393032734;33920.2081447113;38155.0416023146
"REMIND";"experiment-1-1";"R5.2ASIA";"95";"95";"with";"rcp60";"high";"GDP|PPP";"billion US$2010/yr";14311.1348708282;20478.1051631348;29715.6755603031;41687.7309699914;53948.5401460253;65721.4395847536;77525.0092744109;88426.1074308408;99211.4066788896;109412.893721446;118943.322565119;127038.843388375;142920.369976282;156479.476228886;165025.911756868;174799.273816729;165656.970598297;152254.304564001;125357.473742722
"REMIND";"experiment-1-1";"R5.2ASIA";"95";"95";"without";"rcp60";"high";"Consumption";"billion US$2010/yr";3784.92105877091;4121.251107765;7049.05370857205;10621.7463541383;13202.0337125123;15290.5965498112;17223.5530296867;18959.533227233;20420.957856776;21673.6848533915;22948.9314835915;24856.3924872073;26350.1888650268;30359.7052076389;32324.8708175165;33128.7364452705;35934.9902657185;26775.0747265329;27160.2466497695
"REMIND";"experiment-1-1";"R5.2ASIA";"95";"95";"without";"rcp60";"high";"GDP|PPP";"billion US$2010/yr";14311.1348708282;20496.6821320232;29712.8858477634;41685.6689256966;53826.504580892;65400.635010397;76858.6932715806;87276.4710380416;97438.3648358451;106859.50584102;115461.408704167;122533.552668606;135840.313448775;146662.383571723;151753.675763598;156653.895106247;143957.265364547;120025.517678171;87863.8868400662
"REMIND";"experiment-1-1";"R5.2ASIA";"NA";"NA";"NA";"rcp60";"high";"Consumption";"billion US$2010/yr";3784.92152678953;4140.35777291301;7172.22493280409;10914.3433600944;13573.0144646008;15791.0074831307;18098.2661637381;20181.0293337842;22088.7677554632;23876.8025902527;25759.2396443322;29019.8501681877;32637.4628305045;41743.0873907407;49279.8227994879;55257.3571187644;66495.2905535879;55429.2025451989;70114.4728095146
"REMIND";"experiment-1-1";"R5.2ASIA";"NA";"NA";"NA";"rcp60";"high";"GDP|PPP";"billion US$2010/yr";14311.1348708282;20469.0657377609;29622.3155151305;41677.3179871527;54285.8363114504;66550.8421982385;79224.236476054;91428.9773568921;103655.535068084;115782.673474174;127798.185193989;139087.227617562;163273.795944212;188584.222964092;211645.250933728;237206.855597072;235666.527719961;243485.230410392;227671.99190186
"REMIND";"experiment-1-1";"R5.2LAM";"5";"5";"with";"rcp60";"high";"Consumption";"billion US$2010/yr";2134.12339750073;2310.55003390579;2547.81534791033;2974.21855073203;3570.99044305323;4216.80278297921;4938.67667741303;5632.79599632445;6286.14637570868;6946.85457484076;7652.55903521101;8844.87328766973;10368.0669241337;13747.5973546888;16653.9893502402;19494.2038997813;22712.1733767659;19660.4808447687;24742.6178220654
"REMIND";"experiment-1-1";"R5.2LAM";"5";"5";"with";"rcp60";"high";"GDP|PPP";"billion US$2010/yr";5520.5746916816;6617.31877158141;8145.23704928609;9707.58591896121;11406.3387036889;13209.0142212597;15186.5595249799;17308.8983127795;19637.0838727367;22236.3319320291;25086.3843825131;27897.8310748622;34298.8001360651;41533.4059164018;48892.2202754802;57491.1263023623;58352.0768556802;62705.3562443204;61027.5321943934
"REMIND";"experiment-1-1";"R5.2LAM";"5";"5";"without";"rcp60";"high";"Consumption";"billion US$2010/yr";2150.64415852957;2329.42980292425;2568.14769576965;2994.40656866384;3596.04329111747;4223.93564496638;4941.99021052812;5648.1213998737;6294.13847260359;6942.4944619446;7629.48698376128;8786.92178163265;10197.3267208617;13364.1350334308;16038.7872864727;18582.4673177443;21560.638585403;18099.6231826761;23623.4149628751
"REMIND";"experiment-1-1";"R5.2LAM";"5";"5";"without";"rcp60";"high";"GDP|PPP";"billion US$2010/yr";5520.5746916816;6617.4200119132;8145.91676931486;9707.57188269037;11406.78826903;13204.1047541137;15162.1108257247;17271.7934058326;19591.2398280169;22173.2745099135;25010.7246240049;27832.938576203;34145.2102967131;41209.7532090337;48369.4212319655;56732.4171925435;57519.1703293083;61133.3803617774;58931.6764515947
"REMIND";"experiment-1-1";"R5.2LAM";"50";"50";"with";"rcp60";"high";"Consumption";"billion US$2010/yr";2067.04300296225;2236.00600662372;2466.53816314181;2932.58755290358;3503.65380298934;4106.97979659165;4740.2210993831;5362.10441685562;5954.52628083404;6535.81835787362;7147.93078634604;8110.32222119855;9261.59821178848;11845.4215060107;13971.6122902766;15769.6181186861;18340.875478463;14582.8046192129;17270.5475602344
"REMIND";"experiment-1-1";"R5.2LAM";"50";"50";"with";"rcp60";"high";"GDP|PPP";"billion US$2010/yr";5520.5746916816;6617.12310758645;8133.12429033118;9699.54129063197;11353.4703673742;13070.8075075447;14893.2123767799;16768.731870644;18766.9447572044;20936.1650235522;23288.1069422431;25535.3913482457;30301.2433097456;35403.6309643549;40317.567460625;45952.9973568454;45270.2989358194;45428.5199320564;41002.2628783521
"REMIND";"experiment-1-1";"R5.2LAM";"50";"50";"without";"rcp60";"high";"Consumption";"billion US$2010/yr";2099.24312847084;2273.62764748798;2506.34560651783;2947.71980131032;3508.11038950759;4117.54088945745;4770.22680619785;5380.58411076243;5946.02786101529;6506.62621682642;7096.1456661498;7992.73852337433;9057.5818725846;11296.1697655355;13039.9559969049;14385.2176577916;16274.2728823394;12442.3512625399;13690.886366245
"REMIND";"experiment-1-1";"R5.2LAM";"50";"50";"without";"rcp60";"high";"GDP|PPP";"billion US$2010/yr";5520.5746916816;6617.25330460503;8139.95418617752;9708.72380964736;11343.3340949782;13036.7195249008;14845.8151109907;16710.6483922496;18677.9450322401;20798.112972326;23092.8084797133;25268.5078412426;29936.1636846861;34804.030383157;39363.3636537559;44586.8695616112;43654.1575423347;42900.7717195285;37708.8140571539
"REMIND";"experiment-1-1";"R5.2LAM";"95";"95";"with";"rcp60";"high";"Consumption";"billion US$2010/yr";2078.57098865058;2249.15009918872;2481.68994673581;2936.8170274782;3495.88019086188;4092.62130334555;4717.30599963148;5316.86709876391;5871.06142972487;6403.68524357197;6965.93825430485;7778.04859367936;8720.62176751623;10743.5350956794;12365.0437806845;13588.8331704375;15416.9723662326;11755.1434288515;13221.8050964666
